Primary Key,English,Korean,Japanese,Chinese
PAV-00340,complex modulus,복소 탄성률,複素弾性率,复数模量
PAV-00343,composite reaction modulus,복합 반력 계수,複合反力係数,复合反应模量
PAV-00346,Compressive Strength,압축강도,圧縮強度,抗压强度
PAV-00349,concrete mixer,콘크리트믹서,コンクリートミキサー,混凝土搅拌机
PAV-00352,concrete pavement,콘크리트포장,コンクリート舗装,混凝土路面
PAV-00355,concrete slab,콘크리트슬래브,コンクリートスラブ,混凝土板
PAV-00358,consistency,일관성,一貫性,一致性
PAV-00361,consistometer,일관성계,一貫性計,稠度计
PAV-00364,consolidation,다짐,締固め,压实
PAV-00367,construction joint,시공접합부,施工ジョイント,施工接缝
PAV-00370,Continuously Reinforced Concrete Pavement (CRCP),연속철근 콘크리트 포장(CRCP),連続鉄筋コンクリート舗装（CRCP）,连续配筋混凝土路面（CRCP）
PAV-00373,"contraction crack, shrinkage crack",수축균열,収縮ひび割れ,收缩裂缝
PAV-00376,contraction joint,수축접합부,収縮ジョイント,收缩接缝
PAV-00379,Control Charts,관리도,管理図,控制图
PAV-00382,conventional concrete,통상콘크리트,通常コンクリート,常规混凝土
PAV-00385,conversion factor,변환 계수,変換係数,转换系数
PAV-00388,core cutter method,코어커터법,コアカッター法,钻芯法
PAV-00391,coring,코어 채취,コア採取,钻芯取样
PAV-00394,corner break,모서리파손,コーナーブレーク,角隅断裂
PAV-00397,cracking ratio,균열률,ひび割れ率,裂缝率
PAV-00400,Creep,크리프,クリープ,蠕变
PAV-00403,"CRM, crumb rubber modifier",폐타이어고무분말,廃タイヤゴム粉末,废旧轮胎橡胶粉
PAV-00406,crushed aggregate,쇄석,砕石,碎石
PAV-00409,crushed aggregate base,쇄석기층,砕石基層,碎石基层
PAV-00412,crushed sand,쇄사,砕砂,机制砂
PAV-00415,curing,양생,養生,养护
PAV-00418,cut back asphalt,커트백아스팔트,カットバックアスファルト,稀释沥青
PAV-00421,deflection,처짐,たわみ,挠度
PAV-00424,deformation strength,변형 강도,変形強度,变形强度
PAV-00427,deformation strength test,변형 강도 시험,変形強度試験,变形强度试验
PAV-00430,degree of saturation,포화도,飽和度,饱和度
PAV-00433,Deleterious Materials,유해물질,有害物,有害物质
PAV-00436,dense gradation,밀입도,密粒度,密级配
PAV-00439,"dense grade asphalt mixture, pavement",밀입도 아스팔트 혼합물,密粒度アスファルト混合物,密级配沥青混合料
PAV-00442,dense grade gap asphalt mixture,밀입도 갭 아스팔트 혼합물,密粒度ギャップアスファルト混合物,密级配间断沥青混合料
PAV-00445,Densification,치밀화,密実化,密实化
PAV-00448,design elasticity,설계탄성,設計弾性,设计弹性
PAV-00451,design life,설계수명,設計寿命,设计寿命
PAV-00454,design of mix proportion,혼합 설계,混合設計,混合料设计
PAV-00457,design penetration,설계침입도,設計貫入度,设计针入度
PAV-00460,deterioration,열화,劣化,劣化
PAV-00463,diamond grinding,다이아몬드 그라인딩,ダイヤモンドグラインディング,金刚石研磨
PAV-00466,Dispute Resolution,분쟁해결,紛争解決,争议解决
PAV-00469,distress,포장손상,舗装損傷,路面病害
PAV-00472,dowel bar,다웰바,ダウエルバー,传力杆
PAV-00475,drainage works,배수 공사,排水工事,排水工程
PAV-00478,Draindown,드레인다운,ドレインダウン,沥青析漏
PAV-00481,dredging,준설,浚渫,疏浚
PAV-00484,"drier, dryer",건조기,乾燥機,干燥机
PAV-00487,driving wheel,구동륜,駆動輪,驱动轮
PAV-00490,"drop hammer, ram, monkey",낙하식다짐기,ドロップハンマー,夯杆
PAV-00493,dry construction,건식 시공,乾式工法,干式施工
PAV-00496,dry density,건조 밀도,乾燥密度,干密度
PAV-00499,drying shrinkage,건조 수축,乾燥収縮,干燥收缩
PAV-00502,ductility,연성,延性,延性
PAV-00505,durability,내구성,耐久性,耐久性
PAV-00508,durability of water permeable,투수성 내구성,透水性耐久性,透水性耐久性
PAV-00511,durable liquidity pavement,내구성 투수성 포장,耐久性透水性舗装,耐久性透水性路面
PAV-00514,dust collector fine,집진기 미분,集塵機微粉,集尘机细粉
PAV-00517,dynamic modulus of elasticity,동탄성계수,動的弾性係数,动弹性模量
PAV-00520,early curing,초기양생,初期養生,早期养护
PAV-00523,"ecophalt, eco asphalt",에코 아스팔트,エコアスファルト,生态沥青
PAV-00526,edge punch out,포장 모서리 파손,エッジパンチアウト,边缘破损
PAV-00529,effective asphalt content,유효 아스팔트 함량,有効アスファルト含有量,有效沥青含量
PAV-00532,Effective Specific Gravity,유효비중,有効比重,有效相对密度
PAV-00535,Elasticity,탄성,弾性,弹性
PAV-00538,emulsified asphalt,유화 아스팔트,乳化アスファルト,乳化沥青
PAV-00541,Enhanced Integrated Climatic Model,개선 통합 기후모형(EICM),強化統合気候モデル（EICM）,增强型综合气候模型（EICM）
PAV-00544,entrapped air,갇힌 공기,閉じ込められた空気,夹气
PAV-00547,environmental load,환경 하중,環境荷重,环境荷载
PAV-00550,Equivalent Single Axle Load (ESAL),등가단축하중(ESAL),等価単軸荷重（ESAL）,等效单轴荷载（ESAL）
PAV-00553,Erosion,침식,侵食,侵蚀
PAV-00556,estimated mean texture depth,예상 평균 텍스처 깊이,推定平均テクスチャ深さ,估计平均纹理深度
PAV-00559,excessive deformation,과도한 변형,過度な変形,过度变形
PAV-00562,"expansion additive, expanding additive",팽창제,膨張剤,膨胀剂
PAV-00565,expansion joint,팽창이음,膨張目地,膨胀缝
PAV-00568,exposed fine size aggregate concrete pavement,노출세골재콘크리트포장,露出細粒骨材コンクリート舗装,露骨料混凝土路面
PAV-00571,Falling Weight Deflectometer (FWD),낙하추식 처짐측정기(FWD),FWD（重錘落下式たわみ測定装置）,落锤式弯沉仪（FWD）
PAV-00574,fatigue crack,피로 균열,疲労ひび割れ,疲劳裂缝
PAV-00577,Fatigue Cracking,피로균열,疲労ひび割れ,疲劳开裂
PAV-00580,Fatigue Resistance,피로저항성,疲労抵抗性,抗疲劳性能
PAV-00583,Faulting,단차,目地段差,错台
PAV-00586,field heated reclaimed asphalt pavement,현장 가열 재생 아스팔트 포장,現場加熱再生アスファルト舗装,现场加热再生沥青路面
PAV-00589,filler,충전재,フィラー,填料
PAV-00592,"filter course, sand blanket","필터층, 모래층",フィルター層、砂層,滤层、砂垫层
PAV-00595,fine aggregate,세골재,細骨材,细骨料
PAV-00598,fine aggregate percentage,세골재 비율,細骨材率,细骨料百分比
PAV-00601,fine graded asphalt concrete pavement,세립도아스팔트콘크리트포장,細粒度アスファルトコンクリート舗装,细粒度沥青混凝土路面
PAV-00604,fine graded asphalt mixture,세립도아스팔트혼합물,細粒度アスファルト混合物,细粒度沥青混合料
PAV-00607,fine graded gap asphalt mixture,세립도갭아스팔트혼합물,細粒度ギャップアスファルト混合物,细粒度间断级配沥青混合料
PAV-00610,Fine Grained,세립토,細粒土,细粒土
PAV-00613,fine particle,미립자,微粒子,细颗粒
PAV-00616,fine soil,세립토,細粒土,细粒土
PAV-00619,fineness,세립도,細粒度,细度
PAV-00622,fineness modulus,세기 계수,細度係数,细度模数
PAV-00625,Fines,잔골재,細骨材,细料
PAV-00628,finishability,시공성,施工性,施工性
PAV-00631,finishing,마무리,仕上げ,面层
PAV-00634,flash point,인화점,引火点,闪点
PAV-00637,flexible pavement,유연성 포장,柔性舗装,柔性路面
PAV-00640,float,플로트,フロート,浮浆
PAV-00643,"flush, flushing",플러싱,フラッシング,泛油
PAV-00646,Flushing/Bleeding,블리딩(플러싱),フラッシング（ブリーディング）,泛油
PAV-00649,Fly Ash,플라이애시,フライアッシュ,粉煤灰
PAV-00652,fly ash cement,플라이 애시 시멘트,フライアッシュセメント,粉煤灰水泥
PAV-00655,fog seal,포그실,フォグシール,雾封层
PAV-00658,"forced circulating mixer, forced action mixer",강제 순환 믹서,強制循環ミキサー,强制循环搅拌机
PAV-00661,form,거푸집,型枠,模板
PAV-00664,formation level,성토면,路床,路床
PAV-00667,freezing and thawing,동결융해,凍融,冻融
PAV-00670,freezing and thawing test,동결융해시험,凍融試験,冻融试验
PAV-00673,freezing damage,동해,凍害,冻害
PAV-00676,freezing index,동결지수,凍結指数,冻结指数
PAV-00679,frost action,동결작용,凍結作用,冻胀作用
PAV-00682,frost penetration depth,동결심도,凍結深度,冻结深度
PAV-00685,"frost, freezing",동결,凍結,冻结
PAV-00688,gap grade,간격 입도,間粒度,间断级配
PAV-00691,gap grade asphalt,간격 입도 아스팔트,間粒度アスファルト,间断级配沥青
PAV-00694,Geogrid (GG),지오그리드(GG),ジオグリッド（GG）,土工格栅（GG）
PAV-00697,Geosynthetic,지오신세틱스,ジオシンセティックス,土工合成材料
PAV-00700,Geotextile (GT),지오텍스타일(GT),ジオテキスタイル（GT）,土工织物（GT）
PAV-00703,gradation,입도 분포,粒度分布,级配
PAV-00706,grain size distribution,입자 크기 분포,粒径分布,粒径分布
PAV-00709,Gravel,자갈,礫,砾石
PAV-00712,grooving,그루빙,グルービング,刻槽
PAV-00715,guss asphalt,거스 아스팔트,ガスアスファルト,古斯沥青
PAV-00718,heat curing,가열양생,加熱養生,加热养护
PAV-00721,heat of hydration,수화열,水和熱,水化热
PAV-00724,heating loss,가열 손실,加熱損失,加热损失
PAV-00727,heavy weight concrete,중량 콘크리트,重量コンクリート,重混凝土
PAV-00730,high early strength portland cement,조기 강도 포틀랜드 시멘트,早期強度ポルトランドセメント,早强硅酸盐水泥
PAV-00733,high range water reducing agent,고성능 감수제,高性能減水剤,高效减水剂
PAV-00736,high temperature grade,고온 등급,高温グレード,高温等级
PAV-00739,high viscosity modified asphalt,고점도 개질 아스팔트,高粘度改質アスファルト,高粘度改性沥青
PAV-00742,High-Performance Concrete (HPC),고성능 콘크리트(HPC),高性能コンクリート（HPC）,高性能混凝土（HPC）
PAV-00745,highway pavement condition index,도로포장 상태지수,道路舗装状態指数,道路路面状况指数
PAV-00748,Hot Mix Asphalt (HMA),가열 아스팔트 혼합물(HMA),加熱アスファルト混合物（HMA）,热拌沥青混合料（HMA）
PAV-00751,hot mix asphalt mixture,핫 믹스 아스팔트 혼합물,ホットミックスアスファルト混合物,热拌沥青混合料
PAV-00754,"hot screen, hot bin",핫 스크린,ホットスクリーン,热筛
PAV-00757,hot storage silo,핫 저장 사일로,ホット貯蔵サイロ,热储存筒仓
PAV-00760,hot weather concrete,고온콘크리트,高温コンクリート,高温混凝土
PAV-00763,Hot-In-Place (HIP),현장가열 표층재생공법(HIP),路上表層再生工法（HIP）,就地热再生（HIP）
PAV-00766,Hubbard-Field Stability Test,허버드-필드 안정도 시험,ハバード・フィールド安定度試験,哈伯德-菲尔德稳定度试验
PAV-00769,hydration,수화,水和,水化
PAV-00772,hydraulic conductivity,수리전도도,水理伝導度,水力传导率
PAV-00775,hydraulic fill method,수력충전공법,水力充填工法,水力填筑法
PAV-00778,"hydraulic fill, water binding",수력충전,水力充填,水力填筑
PAV-00781,hydroplaning,수막현상,ハイドロプレーニング,水膜现象
PAV-00784,impact load,충격하중,衝撃荷重,冲击荷载
PAV-00787,"impermeable layer, impervious layer",불투수층,不透水層,防渗层
PAV-00790,Independent Assurance (IA),독립보증(IA),独立保証（IA）,独立保证（IA）
PAV-00793,indirect heating,간접 가열,間接加熱,间接加热
PAV-00796,initial temperature,초기온도,初期温度,初始温度
PAV-00799,In-Situ Testing,원위치시험,原位置試験,原位试验
PAV-00802,"intermediate course, binder course","중간층, 결합층",中間層、結合層,中间层、粘结层
PAV-00805,"IRI, international roughness index",국제평탄성지수,国際平坦性指数,国际平整度指数
PAV-00808,isotropy,등방성,等方性,各向同性
PAV-00811,job mix formula,배합설계,配合設計,配合设计
PAV-00814,joint,조인트,ジョイント,接缝
PAV-00817,joint board,조인트 보드,ジョイントボード,接缝板
PAV-00820,joint closure,조인트 폐쇄,ジョイント閉鎖,接缝闭合
PAV-00823,joint freezing,조인트 동결,ジョイント凍結,接缝冻结
PAV-00826,joint opening,조인트 개구,ジョイント開口,接缝开口
PAV-00829,joint rolling,조인트 다짐,ジョイント転圧,接缝碾压
PAV-00832,joint sealing compound,조인트 실링 재료,ジョイントシーリング材,接缝密封材料
PAV-00835,joint spacing,조인트 간격,ジョイント間隔,接缝间距
PAV-00838,jointed plain concrete pavement,조인트콘크리트포장,ジョイント平面コンクリート舗装,接缝混凝土路面
PAV-00841,Jointed Plain Concrete Pavement (JPCP),줄눈 무근 콘크리트 포장(JPCP),目地付き無筋コンクリート舗装（JPCP）,接缝式普通混凝土路面（JPCP）
PAV-00844,Jointed Reinforced Concrete Pavement (JRCP),줄눈 철근 콘크리트 포장(JRCP),目地付き鉄筋コンクリート舗装（JRCP）,接缝式钢筋混凝土路面（JRCP）
PAV-00847,Judgment Sampling,판단표본추출,有意抽出,判断抽样
PAV-00850,kinematic viscosity,동점도,動粘度,运动粘度
PAV-00853,LA abrasion test,LA 마모 시험,LA摩耗試験,LA磨耗试验
PAV-00856,laboratory mix design,실내 혼합설계,室内混合設計,室内混合设计
PAV-00859,laitance,라이턴스,レイタンス,乳化层
PAV-00862,land settlement,지반 침하,地盤沈下,地基沉降
PAV-00865,lap joint,겹침 이음,重ね目地,搭接接缝
PAV-00868,lean concrete,저강도콘크리트,貧配合コンクリート,贫混凝土
PAV-00871,leveling course,평탄층,レベリング層,找平层
PAV-00874,life cycle cost,생애주기비용,ライフサイクルコスト,生命周期成本
PAV-00877,life cycle cost analysis,생애주기비용분석,ライフサイクルコスト分析,生命周期成本分析
PAV-00880,lightweight aggregate concrete,경량 골재 콘크리트,軽量骨材コンクリート,轻骨料混凝土
PAV-00883,limited subgrade frost penetration method,제한된 노상 동결침투 방법,制限された路床凍結貫入法,限制路床冻融贯入法
PAV-00886,Liquefaction,액상화,液状化,液化
PAV-00889,Load Equivalency Factors (LEFs),하중환산계수(LEF),荷重換算係数（LEF）,轴载换算系数（LEF）
PAV-00892,load strength,하중 강도,荷重強度,荷载强度
PAV-00895,Load Transfer Efficiency (LTE),하중전달효율(LTE),荷重伝達効率（LTE）,荷载传递效率（LTE）
PAV-00898,localized roughness,국소 평탄성,局所平坦性,局部平整度
PAV-00901,Longitudinal Cracking,종방향 균열,縦ひび割れ,纵向裂缝
PAV-00904,longitudinal joint,종방향 조인트,縦方向ジョイント,纵向接缝
PAV-00907,loss on heating,가열 감량,加熱減量,加热损失
PAV-00910,Lot,로트,ロット,批
PAV-00913,low heat portland cement,저열 포틀랜드 시멘트,低熱ポルトランドセメント,低热硅酸盐水泥
PAV-00916,low temperature cracking,저온 균열,低温ひび割れ,低温裂缝
PAV-00919,Lower Specification Limit (LSL),하한 규격한계(LSL),下側規格限界（LSL）,规范下限（LSL）
PAV-00922,macadam base course,매카담기층,マカダム基層,碎石基层
PAV-00925,macadam roller,매카담롤러,マカダムローラー,碎石压路机
PAV-00928,macro texture,거시텍스처,マクロテクスチャ,宏观纹理
PAV-00931,marshall stability test,마샬안정도시험,マーシャル安定度試験,马歇尔稳定度试验
PAV-00934,mass concrete,매스콘크리트,マスコンクリート,大体积混凝土
PAV-00937,mastic asphalt mixture,매스틱아스팔트혼합물,マスティックアスファルト混合物,沥青胶浆混合料
PAV-00940,material property,재료특성,材料特性,材料特性
PAV-00943,maximum dry density,최대건조밀도,最大乾燥密度,最大干密度
PAV-00946,maximum size of aggregate,최대 골재 크기,最大骨材寸法,最大骨料粒径
PAV-00949,mean profile depth,평균 프로파일 깊이,平均プロファイル深さ,平均轮廓深度
PAV-00952,mean roughness index,평균 거칠기 지수,平均粗さ指数,平均粗糙度指数
PAV-00955,mean segment depth,평균 구간 깊이,平均区間深さ,平均路段深度
PAV-00958,mean texture depth,평균 텍스처 깊이,平均テクスチャ深さ,平均纹理深度
PAV-00961,mechanical analysis test,기계적 분석 시험,機械的分析試験,机械分析试验
PAV-00964,Mechanistic-Empirical,역학-경험적,力学経験的,力学-经验法
PAV-00967,Mechanistic-Empirical Pavement Design Guide (MEPDG),역학-경험적 포장설계 지침(MEPDG),力学経験的舗装設計ガイド（MEPDG）,力学-经验法路面设计指南（MEPDG）
PAV-00970,membrane curing,막 양생,膜養生,膜养护
PAV-00973,micro texture,미시텍스처,ミクロテクスチャ,微观纹理
PAV-00976,mixing,혼합,混合,混合
PAV-00979,mixing ratio,혼합비,混合比,混合比
PAV-00982,mixing temperature,혼합 온도,混合温度,混合温度
PAV-00985,moderate-heat portland cement,중열 포틀랜드 시멘트,中熱ポルトランドセメント,中热硅酸盐水泥
PAV-00988,modification function,수정 함수,修正関数,修正函数
PAV-00991,modified asphalt,개질 아스팔트,改質アスファルト,改性沥青
PAV-00994,Modulus of Elasticity,탄성계수,弾性係数,弹性模量
PAV-00997,modulus of subgrade reaction,노상 반력 계수,路床反力係数,路床反力系数
PAV-01000,moisture curing,습윤양생,湿潤養生,湿润养护
PAV-01003,mortar,모르타르,モルタル,砂浆
PAV-01006,"MR, resilient modulus, modulus of rupture",탄성 계수,弾性係数,弹性模量
PAV-01009,multi layer elastic theory,다층 탄성 이론,多層弾性理論,多层弹性理论
PAV-01012,multi layer system,다층 시스템,多層システム,多层体系
PAV-01015,Natural Aggregate,천연골재,天然骨材,天然集料
PAV-01018,Natural Pozzolans,천연 포졸란,天然ポゾラン,天然火山灰质材料
PAV-01021,new aggregate,신규 골재,新規骨材,新骨料
PAV-01024,next generation concrete surface,차세대 콘크리트 포장,次世代コンクリート舗装,下一代混凝土路面
PAV-01027,non destructive density gauge,비파괴 밀도계,非破壊密度計,非破坏密度仪
PAV-01030,normal portland cement,보통 포틀랜드 시멘트,普通ポルトランドセメント,普通硅酸盐水泥
PAV-01033,"OAC, optimum asphalt content",최적아스팔트함량,最適アスファルト含有量,最优沥青含量
PAV-01036,on-site modulus of elasticity,현장 탄성 계수,現場弾性係数,现场弹性模量
PAV-01039,open graded,개입 입도,開粒度,开级配
PAV-01042,open graded asphalt concrete,개입 입도 아스팔트 콘크리트,開粒度アスファルトコンクリート,开级配沥青混凝土
PAV-01045,Open-Graded Aggregate Base (OGAB),개립도 골재 기층(OGAB),開粒度骨材路盤（OGAB）,开级配集料基层（OGAB）
PAV-01048,optimum moisture content,최적함수비,最適含水比,最优含水量
PAV-01051,Outlier,이상치,外れ値,离群值
PAV-01054,overlay,덧씌우기,オーバーレイ,加铺层
